nb_shelters,flood_speed,flood_direction,nb_casualties,nb_survivors,(nb_survivors / nb_people) * 100
1,0.2,bottom,16,2131,99.2547741034001
1,0.2,top,1130,1017,47.368421052631575
1,0.2,left,294,1853,86.30647414997671
1,0.2,right,0,2147,100.0
1,0.30000000000000004,bottom,119,2028,94.45738239403819
1,0.30000000000000004,top,1460,687,31.998136935258497
1,0.30000000000000004,left,737,1410,65.6730321378668
1,0.30000000000000004,right,67,2080,96.8793665579879
1,0.4,bottom,311,1836,85.51467163483932
1,0.4,top,1629,518,24.126688402421983
1,0.4,left,1074,1073,49.97671169073125
1,0.4,right,173,1974,91.94224499301352
1,0.5,bottom,581,1566,72.93898462971589
1,0.5,top,1737,410,19.096413600372614
1,0.5,left,1313,834,38.84489986027015
1,0.5,right,390,1757,81.83511877037726
